week_start,week_end,month,year,split
2025-08-04,2025-08-11,8,2025,train
2025-08-11,2025-08-18,8,2025,train
2025-08-18,2025-08-25,8,2025,val
2025-08-25,2025-09-01,8,2025,test
2025-09-01,2025-09-08,9,2025,test
2025-09-08,2025-09-15,9,2025,val
2025-09-15,2025-09-22,9,2025,train
2025-09-22,2025-09-29,9,2025,train
2025-09-29,2025-10-06,10,2025,test
2025-10-06,2025-10-13,10,2025,train
2025-10-13,2025-10-20,10,2025,train
2025-10-20,2025-10-27,10,2025,train
2025-10-27,2025-11-03,10,2025,val
2025-11-03,2025-11-10,11,2025,train
2025-11-10,2025-11-17,11,2025,train
2025-11-17,2025-11-24,11,2025,val
2025-11-24,2025-12-01,11,2025,test
2025-12-01,2025-12-08,12,2025,train
2025-12-08,2025-12-15,12,2025,val
2025-12-15,2025-12-22,12,2025,test
2025-12-22,2025-12-29,12,2025,train
2025-12-29,2026-01-05,1,2026,train
2026-01-05,2026-01-12,1,2026,train
2026-01-12,2026-01-19,1,2026,val
2026-01-19,2026-01-26,1,2026,test
2026-01-26,2026-02-02,1,2026,train
2026-02-02,2026-02-09,2,2026,train
2026-02-09,2026-02-16,2,2026,test
2026-02-16,2026-02-23,2,2026,train
2026-02-23,2026-03-02,2,2026,val
2026-03-02,2026-03-09,3,2026,train
2026-03-09,2026-03-16,3,2026,train
2026-03-16,2026-03-23,3,2026,test
2026-03-23,2026-03-30,3,2026,val
2026-03-30,2026-04-06,4,2026,train
2026-04-06,2026-04-13,4,2026,val
2026-04-13,2026-04-20,4,2026,train
2026-04-20,2026-04-27,4,2026,train
2026-04-27,2026-05-04,4,2026,test
2026-05-04,2026-05-11,5,2026,val
2026-05-11,2026-05-18,5,2026,train
2026-05-18,2026-05-25,5,2026,train
2026-05-25,2026-06-01,5,2026,test
2026-06-01,2026-06-08,6,2026,val
2026-06-08,2026-06-15,6,2026,train
2026-06-15,2026-06-22,6,2026,test
2026-06-22,2026-06-29,6,2026,train
2026-06-29,2026-07-06,7,2026,test
2026-07-06,2026-07-13,7,2026,train
2026-07-13,2026-07-20,7,2026,train
2026-07-20,2026-07-27,7,2026,val
2026-07-27,2026-08-03,7,2026,train
2026-08-03,2026-08-10,8,2026,test
2026-08-10,2026-08-17,8,2026,val
2026-08-17,2026-08-24,8,2026,train
2026-08-24,2026-08-31,8,2026,train
