day_type,hour_start,hour_end,tou_time_slot
saturday,0,1,o
saturday,1,2,o
saturday,2,3,o
saturday,3,4,o
saturday,4,5,o
saturday,5,6,o
saturday,6,7,o
saturday,7,8,s
saturday,8,9,s
saturday,9,10,s
saturday,10,11,s
saturday,11,12,s
saturday,12,13,s
saturday,13,14,s
saturday,14,15,s
saturday,15,16,s
saturday,16,17,s
saturday,17,18,s
saturday,18,19,s
saturday,19,20,s
saturday,20,21,o
saturday,21,22,o
saturday,22,23,o
saturday,23,24,o
sunday,0,1,o
sunday,1,2,o
sunday,2,3,o
sunday,3,4,o
sunday,4,5,o
sunday,5,6,o
sunday,6,7,o
sunday,7,8,o
sunday,8,9,o
sunday,9,10,o
sunday,10,11,o
sunday,11,12,o
sunday,12,13,o
sunday,13,14,o
sunday,14,15,o
sunday,15,16,o
sunday,16,17,o
sunday,17,18,o
sunday,18,19,o
sunday,19,20,o
sunday,20,21,o
sunday,21,22,o
sunday,22,23,o
sunday,23,24,o
weekday,0,1,o
weekday,1,2,o
weekday,2,3,o
weekday,3,4,o
weekday,4,5,o
weekday,5,6,o
weekday,6,7,p
weekday,7,8,p
weekday,8,9,p
weekday,9,10,s
weekday,10,11,s
weekday,11,12,s
weekday,12,13,s
weekday,13,14,s
weekday,14,15,s
weekday,15,16,s
weekday,16,17,s
weekday,17,18,p
weekday,18,19,p
weekday,19,20,s
weekday,20,21,s
weekday,21,22,s
weekday,22,23,o
weekday,23,24,o
