episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1326.7031,-1.974261,672,126453.84,0.0
2,1344,-1014.8048,-1.510126,672,95902.77,0.0
3,2016,-1256.1458,-1.869265,672,120023.88,0.0
4,2688,-1139.7741,-1.696092,672,109875.58,0.0
5,3360,-1044.6135,-1.554484,672,100257.07,0.0
6,4032,-939.4938,-1.398056,672,90142.91,0.0
7,4704,-1025.8528,-1.526567,672,98644.12,0.0
8,5376,-985.5942,-1.466658,672,82944.48,11250.0
9,6048,-1041.3806,-1.549674,672,100163.05,0.0
10,6720,-1015.4136,-1.511032,672,97071.05,0.0
11,7392,-989.0461,-1.471795,672,95407.43,0.0
12,8064,-852.3927,-1.268442,672,78068.37,0.0
13,8736,-819.5133,-1.219514,672,75479.92,0.0
14,9408,-929.7054,-1.38349,672,83986.57,0.0
15,10080,-965.0304,-1.436057,672,88276.25,0.0
16,10752,-1003.2469,-1.492927,672,94509.77,0.0
17,11424,-1296.1526,-1.928799,672,124683.82,0.0
18,12096,-823.5615,-1.225538,672,77499.95,0.0
19,12768,-1215.8145,-1.809248,672,117078.0,0.0
20,13440,-819.0015,-1.218752,672,75082.03,0.0
21,14112,-891.1636,-1.326136,672,84909.52,0.0
22,14784,-1129.0982,-1.680206,672,105445.62,0.0
23,15456,-1284.5261,-1.911497,672,124109.32,0.0
24,16128,-809.9751,-1.20532,672,74346.94,0.0
25,16800,-1270.3994,-1.890475,672,121568.64,0.0
26,17472,-799.7915,-1.190166,672,71990.14,0.0
27,18144,-811.4832,-1.207564,672,74944.11,0.0
28,18816,-846.0908,-1.259064,672,78218.86,0.0
29,19488,-773.6437,-1.151256,672,71478.89,0.0
30,20160,-1137.6272,-1.692898,672,105862.41,0.0
31,20832,-794.9488,-1.18296,672,71598.69,0.0
32,21504,-993.2886,-1.478108,672,94048.04,0.0
33,22176,-931.2709,-1.38582,672,86369.44,0.0
34,22848,-776.3249,-1.155245,672,70745.17,0.0
35,23520,-945.2479,-1.406619,672,88000.38,0.0
36,24192,-1012.5074,-1.506707,672,94438.89,0.0
37,24864,-1097.4963,-1.633179,672,104057.57,0.0
38,25536,-991.2001,-1.475,672,94658.92,0.0
39,26208,-1145.4179,-1.704491,672,108887.28,0.0
40,26880,-1123.5238,-1.67191,672,107497.98,0.0
41,27552,-816.0264,-1.214325,672,75834.69,0.0
42,28224,-828.6321,-1.233083,672,76593.65,0.0
43,28896,-815.1717,-1.213053,672,75617.43,0.0
44,29568,-776.5222,-1.155539,672,72109.35,0.0
45,30240,-1104.6366,-1.643804,672,105243.85,0.0
46,30912,-1121.0491,-1.668228,672,107136.85,0.0
47,31584,-793.1648,-1.180305,672,74163.55,0.0
48,32256,-1094.2167,-1.628299,672,104225.06,0.0
49,32928,-924.1429,-1.375213,672,85206.03,0.0
50,33600,-933.9818,-1.389854,672,86517.43,0.0
51,34272,-1106.908,-1.647184,672,106485.44,0.0
52,34944,-961.3202,-1.430536,672,92220.56,0.0
53,35616,-799.1066,-1.189147,672,72212.29,0.0
54,36288,-892.2283,-1.327721,672,72054.36,11250.0
55,36960,-1106.251,-1.646207,672,106317.42,0.0
56,37632,-805.2532,-1.198293,672,74819.1,0.0
57,38304,-969.3043,-1.442417,672,91774.56,0.0
58,38976,-1022.9756,-1.522285,672,97157.64,0.0
59,39648,-957.4884,-1.424834,672,92046.55,0.0
60,40320,-771.7518,-1.14844,672,70496.05,0.0
61,40992,-880.518,-1.310295,672,83182.14,0.0
62,41664,-1056.384,-1.572,672,100561.23,0.0
63,42336,-991.2324,-1.475048,672,92736.77,0.0
64,43008,-1072.1369,-1.595442,672,102480.66,0.0
65,43680,-1060.2281,-1.57772,672,100431.46,0.0
66,44352,-765.8653,-1.139681,672,70839.31,0.0
67,45024,-789.854,-1.175378,672,70972.2,0.0
68,45696,-897.6783,-1.335831,672,84326.72,0.0
69,46368,-805.1238,-1.198101,672,73864.64,0.0
70,47040,-1057.7354,-1.574011,672,100935.46,0.0
71,47712,-973.1811,-1.448186,672,92590.44,0.0
72,48384,-952.9761,-1.418119,672,89731.27,0.0
73,49056,-962.8981,-1.432884,672,91234.28,0.0
74,49728,-1068.5765,-1.590144,672,101817.13,0.0
75,50400,-1081.8942,-1.609962,672,103160.75,0.0
76,51072,-813.6857,-1.210842,672,75229.34,0.0
77,51744,-770.6833,-1.14685,672,72619.94,0.0
78,52416,-1106.4752,-1.64654,672,105513.22,0.0
79,53088,-810.3484,-1.205876,672,74703.67,0.0
80,53760,-1089.0441,-1.620601,672,104261.26,0.0
81,54432,-952.3253,-1.417151,672,89980.09,0.0
82,55104,-915.5421,-1.362414,672,86241.38,0.0
83,55776,-881.6039,-1.311911,672,73925.95,9660.0
84,56448,-980.0151,-1.458356,672,91895.31,0.0
85,57120,-772.85,-1.150074,672,71448.49,0.0
86,57792,-765.3132,-1.138859,672,69450.69,0.0
87,58464,-1002.3132,-1.491538,672,94487.1,0.0
88,59136,-1114.3263,-1.658224,672,106378.3,0.0
89,59808,-1091.0471,-1.623582,672,105266.81,0.0
90,60480,-764.9247,-1.138281,672,69695.54,0.0
91,61152,-1065.1795,-1.585089,672,102299.43,0.0
92,61824,-846.5172,-1.259698,672,79698.08,0.0
93,62496,-1067.5004,-1.588542,672,101512.77,0.0
94,63168,-1066.6348,-1.587254,672,101030.84,0.0
95,63840,-968.5932,-1.441359,672,91741.59,0.0
96,64512,-790.8614,-1.176877,672,72764.85,0.0
97,65184,-967.9528,-1.440406,672,90706.78,0.0
98,65856,-965.2297,-1.436354,672,91215.38,0.0
99,66528,-862.361,-1.283275,672,77088.74,0.0
100,67200,-955.8446,-1.422388,672,90835.96,0.0
101,67872,-961.1007,-1.430209,672,91288.98,0.0
102,68544,-823.571,-1.225552,672,76863.42,0.0
103,69216,-975.2398,-1.45125,672,93377.11,0.0
104,69888,-771.6472,-1.148284,672,71155.18,0.0
105,70560,-1098.7642,-1.635066,672,105292.52,0.0
106,71232,-992.7195,-1.477261,672,93824.29,0.0
107,71904,-936.8528,-1.394126,672,89308.87,0.0
108,72576,-959.7052,-1.428133,672,92143.24,0.0
109,73248,-1026.0845,-1.526911,672,97333.99,0.0
110,73920,-932.4789,-1.387617,672,88740.29,0.0
111,74592,-961.1435,-1.430273,672,91408.55,0.0
112,75264,-1030.5,-1.533482,672,97504.35,0.0
113,75936,-805.1243,-1.198102,672,75694.6,0.0
114,76608,-1080.1361,-1.607345,672,104042.52,0.0
115,77280,-817.7617,-1.216907,672,77069.02,0.0
116,77952,-913.9975,-1.360115,672,86651.63,0.0
117,78624,-954.4181,-1.420265,672,90575.22,0.0
118,79296,-1003.1514,-1.492785,672,94983.33,0.0
119,79968,-989.4678,-1.472422,672,93538.17,0.0
120,80640,-1030.9864,-1.534206,672,99144.45,0.0
121,81312,-926.6065,-1.378879,672,88275.05,0.0
122,81984,-932.913,-1.388263,672,89108.59,0.0
123,82656,-925.1179,-1.376664,672,87051.76,0.0
124,83328,-764.5749,-1.13776,672,69609.86,0.0
125,84000,-764.1274,-1.137094,672,70816.91,0.0
126,84672,-958.2281,-1.425935,672,91293.09,0.0
127,85344,-1130.3158,-1.682018,672,106820.2,0.0
128,86016,-853.1613,-1.269585,672,79676.18,0.0
129,86688,-778.9578,-1.159163,672,72865.57,0.0
130,87360,-983.8113,-1.464005,672,93476.99,0.0
131,88032,-975.208,-1.451202,672,90980.39,0.0
132,88704,-972.8929,-1.447757,672,92519.42,0.0
133,89376,-1066.5736,-1.587163,672,102140.11,0.0
134,90048,-826.6489,-1.230132,672,77142.63,0.0
135,90720,-1061.1734,-1.579127,672,101427.39,0.0
136,91392,-1100.0458,-1.636973,672,105663.23,0.0
137,92064,-1067.7774,-1.588954,672,101643.25,0.0
