start,policy,cost,energy,demand,chg_steps,dis_steps,chg_steps_paid,dis_steps_paid,n_windows_paid,reward_med,reward_std,reward_min,mean_r_chg,mean_r_dis,max_demand_zar,paid_on_pairclose_frac
5569,naive_chg,85551.33058137874,85551.33058137874,0.0,,,,,,,,,,,,
5569,b0,77912.47489625044,77912.47489625044,0.0,,,,,,,,,,,,
5569,random,105084.6490039014,105084.6490039014,0.0,327.0,323.0,0.0,0.0,0.0,-1.416215866691696,0.8587914235633791,-5.634254189677288,-1.8894328885349203,-1.4008045784230083,0.0,0.0
5571,naive_chg,85970.63216726042,85970.63216726042,0.0,,,,,,,,,,,,
5571,b0,78324.98200215607,78324.98200215607,0.0,,,,,,,,,,,,
5571,random,103675.68908681157,103675.68908681157,0.0,316.0,326.0,0.0,0.0,0.0,-1.399368676934162,0.8070772732187396,-6.0456694953289,-1.7833738865178923,-1.463029788236492,0.0,0.0
5573,naive_chg,85501.60938527415,85501.60938527415,0.0,,,,,,,,,,,,
5573,b0,77897.77026390804,77897.77026390804,0.0,,,,,,,,,,,,
5573,random,103587.54035017165,103587.54035017165,0.0,318.0,314.0,0.0,0.0,0.0,-1.4592761779532526,0.7854280563632753,-5.137585340752414,-1.8354192562595235,-1.4952012911410124,0.0,0.0
5580,naive_chg,85386.53609534266,85386.53609534266,0.0,,,,,,,,,,,,
5580,b0,77740.02407158267,77740.02407158267,0.0,,,,,,,,,,,,
5580,random,104313.44426071884,104313.44426071884,0.0,305.0,328.0,0.0,0.0,0.0,-1.4128314084457483,0.8077071652875069,-5.414823241348128,-1.8358236274444313,-1.4657017747420416,0.0,0.0
5585,naive_chg,85196.51167541115,85196.51167541115,0.0,,,,,,,,,,,,
5585,b0,77576.28066217099,77576.28066217099,0.0,,,,,,,,,,,,
5585,random,103063.08437642416,103063.08437642416,0.0,320.0,318.0,0.0,0.0,0.0,-1.4219595851133107,0.7493323194220411,-4.863608251732983,-1.7349059708434758,-1.507955913294636,0.0,0.0
5590,naive_chg,84726.94362438934,84726.94362438934,0.0,,,,,,,,,,,,
5590,b0,77079.63938192478,77079.63938192478,0.0,,,,,,,,,,,,
5590,random,107148.39768536043,107148.39768536043,0.0,333.0,316.0,0.0,0.0,0.0,-1.425311544464166,0.8341196946609667,-5.613260697074184,-1.8580390730518668,-1.4963710133321038,0.0,0.0
5594,naive_chg,83789.06272157551,83789.06272157551,0.0,,,,,,,,,,,,
5594,b0,76074.68678772256,76074.68678772256,0.0,,,,,,,,,,,,
5594,random,104192.22963949706,104192.22963949706,0.0,317.0,321.0,0.0,0.0,0.0,-1.4154298150291513,0.8346589908705091,-5.517524153694065,-1.8546239922870875,-1.4571871213236012,0.0,0.0
5599,naive_chg,84273.76045835634,84273.76045835634,0.0,,,,,,,,,,,,
